"CAMIS","DBA","BUILDING","STREET","BORO","ZIPCODE","PHONE","CUISINE_DESC","STREET1"
"50084443","KENNEDY FRIED CHICKEN & PIZZA","3216","3 AVENUE","Bronx","10451","9292729858","Chicken","3216 3 AVENUE"
"50093628","PANDA RESTAURANT","3218","3 AVENUE","Bronx","10451","6463715702","Chinese","3218 3 AVENUE"
"50043387","LINDA PIZZA","3240","3 AVENUE","Bronx","10451","7182923100","Pizza","3240 3 AVENUE"
"41660892","LECHONERA & POLLO SABROSO RESTAURANT","3326","3 AVENUE","Bronx","10456","3472714642","Spanish","3326 3 AVENUE"
"50092607","JALLOH FAMILY RESTAURANT","3396","3 AVENUE","Bronx","10456","9176595169","African","3396 3 AVENUE"
"50046039","US KENNEDY FRIED CHICKEN & PIZZA","3738","3 AVENUE","Bronx","10456","7188370989","Chicken","3738 3 AVENUE"
"50090350","US KENNEDY FRIED CHICKEN","3827","3 AVENUE","Bronx","10457","7184508855","Chicken","3827 3 AVENUE"
"41204715","WENDY'S","4040","3 AVENUE","Bronx","10457","7182995603","Hamburgers","4040 3 AVENUE"
"41686846","EL DIAMANTE RESTAURANT","4371","3 AVENUE","Bronx","10457","7183673995","Spanish","4371 3 AVENUE"
"50004599","BELLA PIZZA OF BRONX","4555","3 AVENUE","Bronx","10458","7184838861","Pizza/Italian","4555 3 AVENUE"
"41301857","FIESTA CAFE BAR","4640","3 AVENUE","Bronx","10458","7187332211","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","4640 3 AVENUE"
"50040836","KENNEDY'S FRIED CHICKEN & BISCUITS","4652","3 AVENUE","Bronx","10458","7186849969","Chicken","4652 3 AVENUE"
"40549443","JJ GARDEN RESTAURANT","7521","31 AVENUE","Bronx","","7188986686","Chinese","7521 31 AVENUE"
"41685780","TIKKA GRILL","2402","82 STREET","Bronx","","7184584848","Indian","2402 82 STREET"
"41701806","SONRIE A LA FAMILIA","3259","84 STREET","Bronx","","6463993505","Other","3259 84 STREET"
"41646525","CEETAY","129","ALEXANDER AVENUE","Bronx","10454","7186187020","Japanese","129 ALEXANDER AVENUE"
"50079426","BEATSTRO","135","ALEXANDER AVENUE","Bronx","10454","7184899397","American","135 ALEXANDER AVENUE"
"50056679","MONTE'S BRICK OVEN","136","ALEXANDER AVENUE","Bronx","10454","7189425575","Pizza/Italian","136 ALEXANDER AVENUE"
"41444157","MAMMA ROSA'S","1007","ALLERTON AVENUE","Bronx","10469","7188810242","Delicatessen","1007 ALLERTON AVENUE"
"50089471","DOMENIC'S PIZZA","1015","ALLERTON AVENUE","Bronx","10469","7185476171","Pizza","1015 ALLERTON AVENUE"
"50071507","Chef King Chinese Restaurant","1075","ALLERTON AVENUE","Bronx","10469","7185191119","Chinese","1075 ALLERTON AVENUE"
"50074378","HONG KONG KITCHEN","649","ALLERTON AVENUE","Bronx","10467","7186527803","Chinese","649 ALLERTON AVENUE"
"41674445","VESUVIO PIZZA","680","ALLERTON AVENUE","Bronx","10467","7186541344","Pizza","680 ALLERTON AVENUE"
"41576098","JR PRIMOS RESTAURANT","698","ALLERTON AVENUE","Bronx","10467","3474495680","Spanish","698 ALLERTON AVENUE"
"41361743","KING WOK","725","ALLERTON AVENUE","Bronx","10467","7182311000","Chinese","725 ALLERTON AVENUE"
"40639672","ROMA PIZZA","735","ALLERTON AVENUE","Bronx","10467","7187984825","Pizza","735 ALLERTON AVENUE"
"41713504","ISIS RESTAURANT","739","ALLERTON AVENUE","Bronx","10467","7183241054","Mexican","739 ALLERTON AVENUE"
"50070387","EMPANADAS MONUMENTAL","752","ALLERTON AVENUE","Bronx","10467","3479474700","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","752 ALLERTON AVENUE"
"41171542","NATIONAL BAKERY","767","ALLERTON AVENUE","Bronx","10467","7186533870","Czech","767 ALLERTON AVENUE"
"50057422","BELLA NAPOLI","769","ALLERTON AVENUE","Bronx","10467","7187985507","Pizza","769 ALLERTON AVENUE"
"50059007","LUCKY SMILE RESTAURANT","778","ALLERTON AVENUE","Bronx","10467","7185473350","Chinese","778 ALLERTON AVENUE"
"41267759","IHOP","817","ALLERTON AVENUE","Bronx","10467","7185150161","Pancakes/Waffles","817 ALLERTON AVENUE"
"50082639","COUNTRY BAY PIZZA","3233","AMPERE AVENUE","Bronx","10465","9297779555","Pizza","3233 AMPERE AVENUE"
"41597770","INTERNATIONAL CATERERS","3243","AMPERE AVENUE","Bronx","10465","7188922989","American","3243 AMPERE AVENUE"
"40398910","JOE'S PIZZA","1858","ARCHER STREET","Bronx","10460","7189310226","Pizza","1858 ARCHER STREET"
"41422482","PARKCHESTER FISH & CHIPS","1884","ARCHER STREET","Bronx","10462","7188282535","Seafood","1884 ARCHER STREET"
"50063280","ENZO'S OF ARTHUR AVE","","ARTHUR AVE","Bronx","10458","7187334455","Italian"," ARTHUR AVE"
"50070953","PACO PIZZA","2086","ARTHUR AVENUE","Bronx","10457","3475771844","Pizza","2086 ARTHUR AVENUE"
"50039514","CATANIA'S PIZZA CAFE","2307","ARTHUR AVENUE","Bronx","10458","7185843583","Pizza/Italian","2307 ARTHUR AVENUE"
"50086643","GOLDEN CITY RESTAURANT","2324","ARTHUR AVENUE","Bronx","10458","7185625885","Chinese","2324 ARTHUR AVENUE"
"40840124","GURRA CAFE","2325","ARTHUR AVENUE","Bronx","10458","7182204254","Café/Coffee/Tea","2325 ARTHUR AVENUE"
"50016847","SAN GENNARO","2329","ARTHUR AVENUE","Bronx","10458","7185620129","Italian","2329 ARTHUR AVENUE"
"41265836","PARISIENNE CAFE","2339","ARTHUR AVENUE","Bronx","10458","6464020758","Café/Coffee/Tea","2339 ARTHUR AVENUE"
"50086573","MIKE'S DELI","2344","ARTHUR AVENUE","Bronx","10458","7182955033","Italian","2344 ARTHUR AVENUE"
"41206802","MORRONE PASTRY SHOP & CAFE","2349","ARTHUR AVENUE","Bronx","10458","7187330424","Bakery","2349 ARTHUR AVENUE"
"41358592","ZERO OTTO NOVE TRATTORIA","2357","ARTHUR AVENUE","Bronx","10458","7182201027","Italian","2357 ARTHUR AVENUE"
"50061177","FIASCO","2376","ARTHUR AVENUE","Bronx","10458","7186180806","Pizza/Italian","2376 ARTHUR AVENUE"
"50067297","GERBASI RESTAURANT","2389","ARTHUR AVENUE","Bronx","10458","7182205735","Italian","2389 ARTHUR AVENUE"
"40916630","M&G RESTAURANT","2390","ARTHUR AVENUE","Bronx","10458","7185843788","American","2390 ARTHUR AVENUE"
"50046042","LA CANTINA","2467","ARTHUR AVENUE","Bronx","10458","9179376515","Bottled beverages, including water, sodas, juices, etc.","2467 ARTHUR AVENUE"
"40891377","MUG-Z'S SPORTS BAR","2476","ARTHUR AVENUE","Bronx","10458","9172995546","American","2476 ARTHUR AVENUE"
"50008876","SIMON'S","2479","ARTHUR AVENUE","Bronx","10458","7185623354","Sandwiches/Salads/Mixed Buffet","2479 ARTHUR AVENUE"
"41712791","ZYMI BAR & GRILL","726","ASTOR AVENUE","Bronx","10467","3473268787","American","726 ASTOR AVENUE"
"50097733","EL RINCON DE MEXICO","730","ASTOR AVENUE","Bronx","10467","7187087787","Mexican","730 ASTOR AVENUE"
"50072884","VORFI PIZZA AND BUREK","769","ASTOR AVENUE","Bronx","10467","7183243595","Pizza","769 ASTOR AVENUE"
"41548070","POPEYES","8310","ASTORIA BOULEVARD","Bronx","","7182056024","Chicken","8310 ASTORIA BOULEVARD"
"50045798","MARGARITA'S","915","AVENUE SAINT JOHN","Bronx","10455","9172166715","Spanish","915 AVENUE SAINT JOHN"
"41403373","NEW LUEN HING","3010","BAILEY AVENUE","Bronx","10463","7185491209","Chinese","3010 BAILEY AVENUE"
"50003077","LAURA'S PIZZA","3073","BAILEY AVENUE","Bronx","10463","7184321313","Italian","3073 BAILEY AVENUE"
"50043696","KHALLE BAR AND GRILL","3638","BAILEY AVENUE","Bronx","10463","3473266293","Spanish","3638 BAILEY AVENUE"
"50086788","CURRY & KEBAB","3111","BAINBRIDGE AVENUE","Bronx","10467","9176677360","Bangladeshi","3111 BAINBRIDGE AVENUE"
"41227842","NICKY'S COFFEE SHOP","3140","BAINBRIDGE AVENUE","Bronx","10467","7182319516","American","3140 BAINBRIDGE AVENUE"
"50082562","GALAXY COFFEE SHOP","3150","BAINBRIDGE AVENUE","Bronx","10467","3478919162","Café/Coffee/Tea","3150 BAINBRIDGE AVENUE"
"41702558","MAR Y TIERRA RESTAURANT & LOUNGE","3236","BAINBRIDGE AVENUE","Bronx","10467","7186557764","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","3236 BAINBRIDGE AVENUE"
"50002110","DUNKIN'","1930","BARTOW AVENUE","Bronx","10469","3472029004","Donuts","1930 BARTOW AVENUE"
"50000988","BAGELS ON BARTOW","2033","BARTOW AVENUE","Bronx","10475","7186715696","Bagels/Pretzels","2033 BARTOW AVENUE"
"50049843","BARTOW PIZZA","2045","BARTOW AVENUE","Bronx","10475","7186717898","Pizza","2045 BARTOW AVENUE"
"41518692","JR GOURMET DELI & PRODUCE","2045","BARTOW AVENUE","Bronx","10475","7186710717","Delicatessen","2045 BARTOW AVENUE"
"50047924","XIN HI CHINESE BUFFETT","2053","BARTOW AVENUE","Bronx","10475","7183792200","Chinese","2053 BARTOW AVENUE"
"50083612","ARBY'S","2059","BARTOW AVENUE","Bronx","10475","3478438244","Hamburgers","2059 BARTOW AVENUE"
"50013830","CAPRI IV DELI","2073","BARTOW AVENUE","Bronx","10475","7183203979","Delicatessen","2073 BARTOW AVENUE"
"50013473","RED LOBSTER","2090","BARTOW AVENUE","Bronx","10475","7186714223","Seafood","2090 BARTOW AVENUE"
"50054569","BURGER KING","2200","BARTOW AVENUE","Bronx","10475","9189270130","American","2200 BARTOW AVENUE"
"40989507","AMC THEATRES","2210","BARTOW AVENUE","Bronx","10475","7183201659","American","2210 BARTOW AVENUE"
"50073418","CACHAPA CACHAPA","1903","BATHGATE AVENUE","Bronx","10457","3473290673","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","1903 BATHGATE AVENUE"
"50094454","HALAL FRIED CHICKEN & PIZZA","2280","BATHGATE AVENUE","Bronx","10457","7182957867","Chicken","2280 BATHGATE AVENUE"
"50059983","XSPORT FITNESS","100","BAYCHESTER AVENUE","Bronx","10475","3473381333","Juice, Smoothies, Fruit Salads","100 BAYCHESTER AVENUE"
"50041202","BILLY BEEZ","200","BAYCHESTER AVENUE","Bronx","10475","7185146045","American","200 BAYCHESTER AVENUE"
"50045807","CHARLEYS PHILLY STEAK","200","BAYCHESTER AVENUE","Bronx","10475","7186712009","American","200 BAYCHESTER AVENUE"
"50090415","CHICKENOW","200","BAYCHESTER AVENUE","Bronx","10475","3472231913","Chicken","200 BAYCHESTER AVENUE"
"50013333","CINNABON","200","BAYCHESTER AVENUE","Bronx","10475","7183202581","Bakery","200 BAYCHESTER AVENUE"
"50015174","FROZEN PEAKS","200","BAYCHESTER AVENUE","Bronx","10475","7183797500","Ice Cream, Gelato, Yogurt, Ices","200 BAYCHESTER AVENUE"
"50101891","HOOK & REEL","200","BAYCHESTER AVENUE","Bronx","10475","9175077052","Other","200 BAYCHESTER AVENUE"
"50051335","MASTER WOK","200","BAYCHESTER AVENUE","Bronx","10475","9173886255","Chinese","200 BAYCHESTER AVENUE"
"50058121","MOE'S SOUTHWEST GRILL","200","BAYCHESTER AVENUE","Bronx","10475","5167290848","Mexican","200 BAYCHESTER AVENUE"
"50038113","NATHAN'S FAMOUS","200","BAYCHESTER AVENUE","Bronx","10475","7186711234","Hotdogs","200 BAYCHESTER AVENUE"
"50012694","SARKU JAPAN","200","BAYCHESTER AVENUE","Bronx","10475","7183201500","Japanese","200 BAYCHESTER AVENUE"
"50013885","SBARRO","200","BAYCHESTER AVENUE","Bronx","10475","7183790719","Pizza/Italian","200 BAYCHESTER AVENUE"
"50041493","THAI MAX","200","BAYCHESTER AVENUE","Bronx","10475","9179811148","Thai","200 BAYCHESTER AVENUE"
"50040937","OUTBACK STEAKHOUSE","270","BAYCHESTER AVENUE","Bronx","10475","7183040483","Steak","270 BAYCHESTER AVENUE"
"50096979","FAMILY PIZZA","3363","BAYCHESTER AVENUE","Bronx","10469","7184844970","Pizza","3363 BAYCHESTER AVENUE"
"41233787","PANERA BREAD","340","BAYCHESTER AVENUE","Bronx","10475","7188622585","Sandwiches","340 BAYCHESTER AVENUE"
"50081150","Irie Corner Dumpling Shop","3435","BAYCHESTER AVENUE","Bronx","10469","7186537776","Caribbean","3435 BAYCHESTER AVENUE"
"50032873","JAMEX SPORTS BAR","3447","BAYCHESTER AVENUE","Bronx","10469","3479489119","Caribbean","3447 BAYCHESTER AVENUE"
"40934594","POPEYES","360","BAYCHESTER AVENUE","Bronx","10475","7183203600","Chicken","360 BAYCHESTER AVENUE"
"50001956","GOLDEN FOUNTAIN RESTAURANT","3925","BAYCHESTER AVENUE","Bronx","10466","6465714615","Caribbean","3925 BAYCHESTER AVENUE"
"50002590","ST BESS RESTAURANT","4466","BAYCHESTER AVENUE","Bronx","10466","3479646333","Caribbean","4466 BAYCHESTER AVENUE"
"50085140","SOLIMAR GRILL","1478","BEACH AVENUE","Bronx","10460","3473985482","Spanish","1478 BEACH AVENUE"
"50048548","KENNEDY FRIED CHICKEN","25","BEDFORD PARK BLVD EAST","Bronx","10468","7186846364","Chicken","25 BEDFORD PARK BLVD EAST"
"50040467","WAI KANG CHINESE RESTAURANT","39","BEDFORD PARK BLVD EAST","Bronx","10468","7189332797","Chinese","39 BEDFORD PARK BLVD EAST"
"50100711","CHOI YUAN","4","BEDFORD PARK BLVD EAST","Bronx","10468","7186655878","Chinese","4 BEDFORD PARK BLVD EAST"
"50014342","UNDERGROUND LOUNGE","250","BEDFORD PARK BLVD WEST","Bronx","10468","7189602234","American","250 BEDFORD PARK BLVD WEST"
"41231660","LAS MARAVILLAS DE MEXICO RESTAURANT","1113","BEDFORD PARK BOULEVARD","Bronx","","7185843455","Mexican","1113 BEDFORD PARK BOULEVARD"
"50056609","HUNG HING CHINESE RESTAURANT","239","BEDFORD PARK BOULEVARD","Bronx","10458","7185625050","Chinese","239 BEDFORD PARK BOULEVARD"
"50073820","ROSE FLOWER KITCHEN","383","BEDFORD PARK BOULEVARD","Bronx","10458","7183643542","Chinese","383 BEDFORD PARK BOULEVARD"
"41479400","ROCCO'S PIZZA","397","BEDFORD PARK BOULEVARD","Bronx","10458","7182956793","Pizza","397 BEDFORD PARK BOULEVARD"
"41444147","NATIONAL RESTAURANT & COFFEE SHOP","68","BEDFORD PARK BOULEVARD","Bronx","10468","7183655515","American","68 BEDFORD PARK BOULEVARD"
"41272088","ANTONIO'S TRATTORIA","2370","BELMONT AVENUE","Bronx","10458","7187336630","Italian","2370 BELMONT AVENUE"
"50045959","ROYALCOACH DINER","3250","BOSTON POST ROAD","Bronx","10469","7186531716","American","3250 BOSTON POST ROAD"
"50045192","NEW GOLDEN DRAGON CHINESE","1078","BOSTON ROAD","Bronx","10456","7188609888","Chinese","1078 BOSTON ROAD"
"50063765","GOLDEN KRUST","1299","BOSTON ROAD","Bronx","10456","7183781133","Caribbean","1299 BOSTON ROAD"
"50046783","JAGANA FAMILY KENNEDY FRIED CHICKEN","1375","BOSTON ROAD","Bronx","10456","3472779698","American","1375 BOSTON ROAD"
"41478014","SUBWAY","1490","BOSTON ROAD","Bronx","10460","7185898456","Sandwiches","1490 BOSTON ROAD"
"50050674","MCDONALD'S RESTAURANT","1600","BOSTON ROAD","Bronx","10460","7185427915","Sandwiches/Salads/Mixed Buffet","1600 BOSTON ROAD"
"41700191","LONG XIN CHINESE KITCHEN","1687","BOSTON ROAD","Bronx","10460","7188422568","Chinese","1687 BOSTON ROAD"
"41678309","SUBWAY","2026","BOSTON ROAD","Bronx","10460","7189918800","American","2026 BOSTON ROAD"
"41617404","DUNKIN'","2515","BOSTON ROAD","Bronx","10467","7182312835","Café/Coffee/Tea","2515 BOSTON ROAD"
"41350166","POPEYES","2751","BOSTON ROAD","Bronx","10469","7183808334","Chicken","2751 BOSTON ROAD"
"41610874","DUNKIN'","3080","BOSTON ROAD","Bronx","10469","7182317766","Café/Coffee/Tea","3080 BOSTON ROAD"
"41549885","GOOD TASTE CHINESE RESTAURANT","3416","BOSTON ROAD","Bronx","10469","7185472679","Chinese","3416 BOSTON ROAD"
"50059524","KENNEDY FRIED CHICKEN","3420","BOSTON ROAD","Bronx","10469","7188825080","American","3420 BOSTON ROAD"
"41627133","CHINA WOK","3431","BOSTON ROAD","Bronx","10469","7186527931","Chinese","3431 BOSTON ROAD"
"50045072","EL VALLE RESTAURANTE","3452","BOSTON ROAD","Bronx","10469","7186551771","Spanish","3452 BOSTON ROAD"
"50052226","LITTLE NEGRIL JAMAICAN CUISINE","3470","BOSTON ROAD","Bronx","10469","7188820234","Caribbean","3470 BOSTON ROAD"
"40917970","FOOD HUT RESTAURANT & BAKERY","3497","BOSTON ROAD","Bronx","10469","7188823347","Caribbean","3497 BOSTON ROAD"
"50008231","TRANQUILITY BAR & LOUNGE","3511","BOSTON ROAD","Bronx","10469","9142584444","American","3511 BOSTON ROAD"
"41655252","CHINA TOP","3563","BOSTON ROAD","Bronx","10469","7184055550","Chinese","3563 BOSTON ROAD"
"50086335","FLAMING DELICIOUS JERK CUISINE","3563B","BOSTON ROAD","Bronx","10469","3473467111","Caribbean","3563B BOSTON ROAD"
"50044013","WENDY'S","3636","BOSTON ROAD","Bronx","10469","7187984133","Hamburgers","3636 BOSTON ROAD"
"40388269","WHITE CASTLE","3663","BOSTON ROAD","Bronx","10466","7182311347","Hamburgers","3663 BOSTON ROAD"
"41591015","KFC","3770","BOSTON ROAD","Bronx","10469","7186520525","Chicken","3770 BOSTON ROAD"
"41366152","DUNKIN'","3804","BOSTON ROAD","Bronx","10475","7182318014","Donuts","3804 BOSTON ROAD"
"41121169","KLASSIQUE","3813","BOSTON ROAD","Bronx","10466","7186543222","Caribbean","3813 BOSTON ROAD"
"41385639","BEST CHINESE RESTAURANT","4004A","BOSTON ROAD","Bronx","10475","7183792438","Chinese","4004A BOSTON ROAD"
"41192316","MINGLES","4012","BOSTON ROAD","Bronx","10475","7183209505","Caribbean","4012 BOSTON ROAD"
"50091068","MINGLES EXPRESS GRILL","4018","BOSTON ROAD","Bronx","10475","7183209504","Caribbean","4018 BOSTON ROAD"
"41658466","FISH N TING RESTAURANT","4063","BOSTON ROAD","Bronx","10466","7188816116","Caribbean","4063 BOSTON ROAD"
"41026617","COZY COTTAGE RESTAURANT","4105","BOSTON ROAD","Bronx","10466","7188823040","American","4105 BOSTON ROAD"
"50035765","SMASHBURGER","4325","BOSTON ROAD","Bronx","10466","3479134169","Hamburgers","4325 BOSTON ROAD"
"41574702","WENDY'S","4330","BOSTON ROAD","Bronx","10475","7183258750","American","4330 BOSTON ROAD"
"50078481","ANBU ROOM","2650","BRIGGS AVENUE","Bronx","10458","3476353103","American","2650 BRIGGS AVENUE"
"50071550","NEW KING WAH CHINESE RESTAURANT","2713","BRIGGS AVENUE","Bronx","10458","7183652065","Chinese","2713 BRIGGS AVENUE"
"40387399","ARTURO'S PIZZA","5189A","BROADWAY","Bronx","10463","7185623820","Pizza","5189A BROADWAY"
"50053703","JOHN'S FRIED CHICKEN","5225","BROADWAY","Bronx","10463","6464914042","Spanish","5225 BROADWAY"
"40760469","ASTRAL FITNESS & WELLNESS","5500","BROADWAY","Bronx","10463","7185612200","Juice, Smoothies, Fruit Salads","5500 BROADWAY"
"41086575","DUNKIN'","5501","BROADWAY","Bronx","10463","7184322606","Donuts","5501 BROADWAY"
"50047794","PARILLA LATINA","5523","BROADWAY","Bronx","10463","7185436300","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","5523 BROADWAY"
"50007311","SUBWAY","5549","BROADWAY","Bronx","10463","3478436333","Sandwiches/Salads/Mixed Buffet","5549 BROADWAY"
"41697115","GOLD MINE CAFE","5578","BROADWAY","Bronx","10463","7185490622","Greek","5578 BROADWAY"
"41511660","EL ECONOMICO RESTAURANT","5589","BROADWAY","Bronx","10463","7186015577","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","5589 BROADWAY"
"40837042","MALECON RESTAURANT","55925594","BROADWAY","Bronx","","7184325155","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","55925594 BROADWAY"
"50075669","SUGAR BOY BAKERY II","5595","BROADWAY","Bronx","10463","7189751965","Bakery","5595 BROADWAY"
"50050984","KENNEDY FRIED CHICKEN","5605","BROADWAY","Bronx","10463","7184321181","Chicken","5605 BROADWAY"
"50002628","KFC","5625","BROADWAY","Bronx","10463","7186010582","American","5625 BROADWAY"
"50059508","PANDA RESTAURANT","5625","BROADWAY","Bronx","10463","7186016586","Chinese","5625 BROADWAY"
"41703627","Q KACHAPA RESTAURANT","5625","BROADWAY","Bronx","10463","7184320002","Spanish","5625 BROADWAY"
"41614531","SILHOUETTE RESTAURANT LOUNGE","5668","BROADWAY","Bronx","10463","7186010777","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","5668 BROADWAY"
"50037580","MCDONALD'S","5765","BROADWAY","Bronx","10463","7187964447","American","5765 BROADWAY"
"40366497","THE PUNCH BOWL","5820","BROADWAY","Bronx","10463","7188847322","American","5820 BROADWAY"
"50086456","PIZZA SUPREME","5959","BROADWAY","Bronx","10463","3478998470","Pizza/Italian","5959 BROADWAY"
"40383819","LAST STOP (AI & JI) RESTAURANT","5977","BROADWAY","Bronx","10471","3474496679","American","5977 BROADWAY"
"50007746","BURGER KING","6007","BROADWAY","Bronx","10471","7185499637","Hamburgers","6007 BROADWAY"
"40945691","SANTA FE GRILL & BAR","6025","BROADWAY","Bronx","10471","7185695095","Mexican","6025 BROADWAY"
"40819558","JAKE'S STEAKHOUSE","6031","BROADWAY","Bronx","10471","7185810182","Steak","6031 BROADWAY"
"50064379","THE LITTLE CUPCAKE PASTRY SHOP","2009","BRONXDALE AVE","Bronx","10462","9178475373","Bakery","2009 BRONXDALE AVE"
"50043757","LIN'S ASIAN CUISINE","1506","BRONXDALE AVENUE","Bronx","10462","7188226888","Asian","1506 BRONXDALE AVENUE"
"41166704","MAESTRO CATERERS","1703","BRONXDALE AVENUE","Bronx","10462","7187928844","American","1703 BRONXDALE AVENUE"
"41195691","F & J PINE RESTAURANT","1913","BRONXDALE AVENUE","Bronx","10462","7187925956","Italian","1913 BRONXDALE AVENUE"
"41040376","THE GRILL HOUSE","1991","BRONXDALE AVENUE","Bronx","10462","7184309797","Middle Eastern","1991 BRONXDALE AVENUE"
"50101465","NEW CHANDNI CHOWK","2570","BRONXWOOD AVENUE","Bronx","10469","7183255859","Pakistani","2570 BRONXWOOD AVENUE"
"40386672","FRANK'S SOUP BOWL","3580","BRONXWOOD AVENUE","Bronx","10469","7185199277","Caribbean","3580 BRONXWOOD AVENUE"
"50087595","inthemix jamaican & southern cuisine","3728","BRONXWOOD AVENUE","Bronx","10469","3476727941","Caribbean","3728 BRONXWOOD AVENUE"
"50060018","SEA JAMMINS CARIBBEAN CUISINE","3827","BRONXWOOD AVENUE","Bronx","10469","7189943875","Caribbean","3827 BRONXWOOD AVENUE"
"50056944","LES Q CARIBBEAN RESTAURANT","3854","BRONXWOOD AVENUE","Bronx","10469","3473266912","Caribbean","3854 BRONXWOOD AVENUE"
"50091171","BRONXWOOD PIZZA","3969","BRONXWOOD AVENUE","Bronx","10466","3479204884","Pizza","3969 BRONXWOOD AVENUE"
"50040892","BEST CHOICE CARIBBEAN RESTAURANT AND JUICE BAR","3973","BRONXWOOD AVENUE","Bronx","10466","7187982002","Caribbean","3973 BRONXWOOD AVENUE"
"50043950","EL PARAISO RESTAURANT","231","BROOK AVENUE","Bronx","10454","9177018109","American","231 BROOK AVENUE"
"50064192","TEXAS CHICKEN & BURGERS","235","BROOK AVENUE","Bronx","10454","3472717138","American","235 BROOK AVENUE"
"50007733","LOK HIN","299","BROOK AVENUE","Bronx","10454","7184024171","Chinese","299 BROOK AVENUE"
"41470237","RUINAS DE COPAN","483","BROOK AVENUE","Bronx","10455","7185856473","Spanish","483 BROOK AVENUE"
"50074195","NOCHES MEXICANAS","524","BROOK AVENUE","Bronx","10455","3475910645","Mexican","524 BROOK AVENUE"
"50088692","MILK BURGER","148","BRUCKNER BOULEVARD","Bronx","10454","2123601988","American","148 BRUCKNER BOULEVARD"
"40794103","MCDONALD'S","1600","BRUCKNER BOULEVARD","Bronx","10473","7186170869","Hamburgers","1600 BRUCKNER BOULEVARD"
"50032832","POPEYES","1602","BRUCKNER BOULEVARD","Bronx","10473","7186305535","Chicken","1602 BRUCKNER BOULEVARD"
