"OBJECTID","PERMIT_TYPE","DBA","CAMIS","APPROVED_SIDEWALK","APPROVED_ROAD","SUBMISSION_DATE1"
2488,"sidewalk","Erin�s Isle","40386528","yes","no",20-JUN-20
9323,"sidewalk","2671 S&C Pizza Corp","40386569","yes","no",25-JUL-20
8921,"both","The Lewek Corp","40386570","yes","yes",19-JUL-20
724,"both","The Cubbyhole Bar","40386570","yes","yes",19-JUN-20
6847,"roadway","PERIYALI","40386619","no","yes",01-JUL-20
2146,"sidewalk","Copper Kettle Restaurant and Bar","40386675","yes","no",20-JUN-20
2330,"both","Balarini rest Corp","40386747","yes","yes",20-JUN-20
9894,"both","BALARINI RESTAURANT CORP","40386747","yes","yes",06-AUG-20
2755,"both","Taro rest inc","40386999","yes","yes",21-JUN-20
1878,"both","Da Umberto Restaurant","40387162","yes","yes",19-JUN-20
7938,"sidewalk","Themefood, Inc","40387237","yes","no",09-JUL-20
730,"sidewalk","Jimmy Max","40387243","yes","no",19-JUN-20
2331,"both","Peculier Pub","40387277","yes","yes",20-JUN-20
1312,"sidewalk","Unos Chicago Grill","40387339","yes","no",19-JUN-20
2590,"roadway","Cafe Lalo","40387357","no","yes",20-JUN-20
8723,"sidewalk","Tal Bagels","40387418","yes","no",17-JUL-20
8491,"sidewalk","Green Pavilion","40387825","yes","no",15-JUL-20
2516,"both","Westway Diner Inc","40387861","yes","yes",20-JUN-20
5904,"sidewalk","Massawa","40388091","yes","no",26-JUN-20
10754,"sidewalk","SOB's","40388194","yes","no",31-AUG-20
9437,"both","HOLLAND COCKTAIL LOUNGE INC.","40388225","yes","yes",27-JUL-20
7875,"sidewalk","TGI Friday's","40388270","yes","no",09-JUL-20
890,"sidewalk","Cowgirl, INC","40388321","yes","no",19-JUN-20
8632,"both","Cowgirl","40388321","yes","yes",16-JUL-20
9673,"sidewalk","Dive Bar","40388578","yes","no",01-AUG-20
7570,"both","Bennys Burritos","40388619","yes","yes",07-JUL-20
3409,"both","Nectar","40388672","yes","yes",22-JUN-20
7652,"both","2A","40388784","yes","yes",07-JUL-20
2290,"both","SETTE MEZZO","40388787","yes","yes",20-JUN-20
9340,"sidewalk","YAMA JAPANEASE RESTAURANT","40388818","yes","no",25-JUL-20
9225,"sidewalk","YAMA","40388818","yes","no",23-JUL-20
11398,"both","YAMA JAPANESE RESTAURANT","40388818","yes","yes",24-OCT-20
4759,"both","Chadwicks's Restaurant","40388823","yes","yes",24-JUN-20
4345,"both","El Castillo De Jagua Restaurant","40388901","yes","yes",23-JUN-20
6234,"roadway","Decibel","40388935","no","yes",29-JUN-20
3828,"sidewalk","SaccoPizza","40389114","yes","no",22-JUN-20
1731,"sidewalk","Rivoli Pizza","40389138","yes","no",19-JUN-20
867,"sidewalk","toparo","40389243","yes","no",19-JUN-20
10361,"both","Toms restaurant","40389356","yes","yes",18-AUG-20
9923,"openstreets","DAFNON FOOD COPR","40389819","no","no",06-AUG-20
4837,"roadway","DAFNON FOOD CORP","40389819","no","yes",24-JUN-20
2806,"sidewalk","AUSTIN HOUSE","40389819","yes","no",21-JUN-20
3339,"roadway","5 Burro Cafe","40390163","no","yes",22-JUN-20
8622,"openstreets","5 burro cafe","40390163","no","no",16-JUL-20
8658,"openstreets","5 Burro Cafe","40390163","no","no",16-JUL-20
92,"both","5 burro cafe","40390163","yes","yes",19-JUN-20
7303,"both","EL TRONO DE MEXICO SPORTS BAR","40390185","yes","yes",05-JUL-20
7203,"openstreets","Papazzio","40390241","no","no",03-JUL-20
958,"both","Papazzio Restaurant","40390241","yes","yes",19-JUN-20
7139,"both","Taste of India II Restaurant","40390536","yes","yes",03-JUL-20
7412,"both","HANBAT RESTAURANT, INC","40390696","yes","yes",06-JUL-20
2547,"both","Luke�s Bar and Grill","40391060","yes","yes",20-JUN-20
286,"roadway","Luke�s Bar and Grill","40391060","no","yes",19-JUN-20
3446,"both","Lazzara�s Pizza Caf�. & Restaurant","40391121","yes","yes",22-JUN-20
11073,"both","MALACHY'S","40391154","yes","yes",23-SEP-20
8681,"both","grotta azzurra Pizzeria restaurant","40391205","yes","yes",16-JUL-20
2092,"sidewalk","Three Guys Restaurant","40391339","yes","no",20-JUN-20
4918,"both","Three Guys Restaurant","40391339","yes","yes",24-JUN-20
3761,"both","Tea and Sympathy Inc","40391531","yes","yes",22-JUN-20
7578,"openstreets","Orso","40391695","no","no",07-JUL-20
2271,"both","Lastrada restaurant","40391857","yes","yes",20-JUN-20
1497,"both","Walters Bar","40392063","yes","yes",19-JUN-20
7476,"both","BQE Cafe Billiards Inc.","40392384","yes","yes",06-JUL-20
6023,"roadway","TARTINE INC","40392496","no","yes",27-JUN-20
6025,"sidewalk","TARTINE INC","40392496","yes","no",27-JUN-20
8555,"both","Blanches Tavern","40392668","yes","yes",16-JUL-20
11282,"both","JAIYA THAI ORIENTAL RESTAURANT","40392724","yes","yes",08-OCT-20
11247,"sidewalk","BERGEN BEACH CAFE","40392766","yes","no",06-OCT-20
6054,"both","El Cantinero","40392834","yes","yes",27-JUN-20
8408,"both","El Cantinero","40392834","yes","yes",14-JUL-20
5965,"both","Molly's","40392872","yes","yes",27-JUN-20
6256,"both","Jackson House Restaurant","40392939","yes","yes",29-JUN-20
6679,"both","scalinatella inc","40393044","yes","yes",01-JUL-20
1877,"both","Friends  Tavern","40393051","yes","yes",19-JUN-20
6302,"both","El Rinc�n Salvadoreno","40393093","yes","yes",29-JUN-20
2996,"both","BUDDIES BURRITO & TACO BAR INC","40393243","yes","yes",21-JUN-20
520,"both","EJ's Luncheonette","40393378","yes","yes",19-JUN-20
6953,"roadway","Mirabi Inc","40393519","no","yes",02-JUL-20
112,"both","Fitzgerald's Pub","40393558","yes","yes",19-JUN-20
5427,"sidewalk","Faros Restuarant","40393561","yes","no",25-JUN-20
3408,"both","Pasta Lovers Trattoria","40393570","yes","yes",22-JUN-20
3574,"both","Don Giovanni Ristorante","40393591","yes","yes",22-JUN-20
6466,"both","MOLINO ROJO RESTAURANT","40393688","yes","yes",29-JUN-20
6407,"both","Shabu Tatsu","40393712","yes","yes",29-JUN-20
5628,"sidewalk","Shabu Tatsu","40393712","yes","no",26-JUN-20
9208,"sidewalk","Home Boy Restaurant Inc","40393725","yes","no",23-JUL-20
3377,"sidewalk","NONE","40393761","yes","no",22-JUN-20
11484,"sidewalk","INDO CHINE","40393772","yes","no",06-NOV-20
9310,"both","GlenPatricks Pub","40393832","yes","yes",24-JUL-20
6562,"both","Muldoons Irish Pub","40393855","yes","yes",30-JUN-20
8906,"roadway","Brenmac Tavern Inc. Grand Stand","40393905","no","yes",19-JUL-20
4847,"sidewalk","Brenmac Tavern Inc. Grand Stand","40393905","yes","no",24-JUN-20
2940,"both","Manettas Ristorante","40393985","yes","yes",21-JUN-20
7656,"both","Niagara / Tompkins Square Bar/ Lovers","40394007","yes","yes",07-JUL-20
4985,"sidewalk","Salvi Restaurant","40394028","yes","no",24-JUN-20
2435,"both","MP 3814 RESTAURANT CORP","40394110","yes","yes",20-JUN-20
5732,"both","Llbinc","40394207","yes","yes",26-JUN-20
469,"sidewalk","LLBinc","40394207","yes","no",19-JUN-20
2586,"sidewalk","Tommaso's","40394258","yes","no",20-JUN-20
858,"sidewalk","Piccolo Angolo Restaurant","40394392","yes","no",19-JUN-20
6854,"roadway","BAR SIX","40394401","no","yes",01-JUL-20
10462,"sidewalk","Lar Portugues Ltd.","40394518","yes","no",19-AUG-20
2858,"both","Marumi Corporation","40394560","yes","yes",21-JUN-20
4609,"both","Jing Fong Restaurant","40395023","yes","yes",23-JUN-20
3630,"both","Becco Restaurant","40395055","yes","yes",22-JUN-20
2138,"sidewalk","8260 Austin Street Corp","40395087","yes","no",20-JUN-20
10555,"both","prima pasta & cafe inc","40395110","yes","yes",22-AUG-20
3248,"both","NONNA ROSA PIZZA INC","40395122","yes","yes",22-JUN-20
3245,"both","GINO'S PIZZERIA RESTAURANT","40395122","yes","yes",22-JUN-20
4871,"sidewalk","cafe cardini","40395239","yes","no",24-JUN-20
3608,"both","Brasserie Felix Inc","40395343","yes","yes",22-JUN-20
2893,"both","Bronx Tavern","40395480","yes","yes",21-JUN-20
8264,"both","150 Smith Street Pizzeria, Inc","40395774","yes","yes",13-JUL-20
1760,"sidewalk","Java Indonesian Rijsttafel Inc.","40395826","yes","no",19-JUN-20
3882,"sidewalk","Tequila sunrise of bayside","40395858","yes","no",22-JUN-20
7469,"both","Caridad","40395872","yes","yes",06-JUL-20
3393,"both","The Stumble Inn","40395892","yes","yes",22-JUN-20
9482,"roadway","La Contenta Oeste","40396020","no","yes",28-JUL-20
2626,"sidewalk","La Contenta Oeste","40396020","yes","no",20-JUN-20
6894,"both","Smilers","40396037","yes","yes",02-JUL-20
10165,"both","Little Fish Corp","40396159","yes","yes",12-AUG-20
2345,"both","Da Nico Restaurant","40396264","yes","yes",20-JUN-20
9627,"both","Eli-Lilla Inc","40396421","yes","yes",31-JUL-20
7244,"both","Christina�s Polish Restaurant Inc.","40396433","yes","yes",04-JUL-20
2714,"sidewalk","Pollos a la Brasa Mario Inc","40396445","yes","no",20-JUN-20
10771,"both","POLLOS A LA BRASA MARIO","40396445","yes","yes",01-SEP-20
6184,"both","Pollos a la Braza Mario INC","40396445","yes","yes",28-JUN-20
480,"sidewalk","Ess-a-Bagel","40396464","yes","no",19-JUN-20
6646,"both","The Auction House","40396488","yes","yes",30-JUN-20
7343,"both","Tee Dee's Tavern","40396521","yes","yes",05-JUL-20
2206,"both","Metro Diner","40396532","yes","yes",20-JUN-20
4885,"both","MEDITERRANEO","40396622","yes","yes",24-JUN-20
8752,"both","ANTIOQUENA II BAKERY","40396889","yes","yes",17-JUL-20
11162,"sidewalk","FLANNERY'S BAR","40396906","yes","no",29-SEP-20
4726,"both","Frankie Boy's Pizza","40397190","yes","yes",23-JUN-20
7503,"sidewalk","Arirang Hibachi Steakhouse","40397335","yes","no",07-JUL-20
9529,"both","KARPENISI REST., INC.","40397492","yes","yes",29-JUL-20
1652,"both","DOMINICK'S BAR & RESTAURANT, INC.","40397574","yes","yes",19-JUN-20
8774,"both","Mortons of Chicago/5th Ave INC","40397676","yes","yes",17-JUL-20
6340,"both","Alfonso's Tapas Bar Corp","40397763","yes","yes",29-JUN-20
9887,"both","Times Square Barbeque, INC","40397780","yes","yes",06-AUG-20
3524,"both","57 Grand Street Cafe Corp","40397796","yes","yes",22-JUN-20
6795,"both","Toad Hall","40397797","yes","yes",01-JUL-20
4906,"both","Olympia Cafe Billiards","40397810","yes","yes",24-JUN-20
5696,"both","Olympia Cafe Billiards","40397810","yes","yes",26-JUN-20
3119,"sidewalk","T.K and junior Restaurant Inc.","40397886","yes","no",21-JUN-20
10393,"roadway","La Gioconda","40398306","no","yes",18-AUG-20
3071,"both","Curry In A Hurry","40398434","yes","yes",21-JUN-20
2674,"sidewalk","Nick's Pizza","40398440","yes","no",20-JUN-20
10889,"both","NICK'S PIZZA","40398440","yes","yes",08-SEP-20
5441,"sidewalk","Trattoria Romana Inc","40398531","yes","no",25-JUN-20
5783,"sidewalk","TRAVIESO BUSINESS SERVICE","40398642","yes","no",26-JUN-20
9262,"sidewalk","Caffe Expresso LTD","40398689","yes","no",24-JUL-20
11028,"both","DOC HOLIDAYS","40398690","yes","yes",18-SEP-20
8939,"sidewalk","Elmhurst Famous Pizza","40398700","yes","no",20-JUL-20
9393,"sidewalk","Knapp st pizza 2","40398899","yes","no",27-JUL-20
9757,"sidewalk","Fresco by Scotto","40398989","yes","no",03-AUG-20
10904,"roadway","FRESCO","40398989","no","yes",09-SEP-20
5844,"sidewalk","Cleo's Ninth Avenue Saloon","40399057","yes","no",26-JUN-20
5257,"roadway","Gigino Inc","40399174","no","yes",25-JUN-20
5328,"sidewalk","La Barca Restaurant","40399373","yes","no",25-JUN-20
257,"both","Judge Roy Bean","40399569","yes","yes",19-JUN-20
8780,"both","Pio Pio Restaurtant","40399581","yes","yes",17-JUL-20
7647,"roadway","Allegra Allegra Inc. d/b/a La Linea","40399620","no","yes",07-JUL-20
3263,"sidewalk","Bagels and Cream","40399672","yes","no",22-JUN-20
8152,"both","Noodle Pudding","40399751","yes","yes",12-JUL-20
136,"roadway","NOVITA","40399817","no","yes",19-JUN-20
8764,"both","Hangawi Restaurant","40399834","yes","yes",17-JUL-20
8494,"openstreets","Hangawi Restaurant","40399834","no","no",15-JUL-20
7228,"both","Fifth Avenue Diner","40399986","yes","yes",04-JUL-20
11040,"sidewalk","CAFE GITANE","40400039","yes","no",18-SEP-20
10764,"both","china glatt","40400149","yes","yes",01-SEP-20
1375,"both","Bus Stop","40400155","yes","yes",19-JUN-20
9972,"openstreets","CABANA 70 ASSOC. LP.","40400198","no","no",06-AUG-20
413,"both","Wheeler�s","40400209","yes","yes",19-JUN-20
2968,"both","P and C restaurants group of Manhattan","40400453","yes","yes",21-JUN-20
9309,"sidewalk","Arch Diner","40400544","yes","no",24-JUL-20
7552,"roadway","Fortunato Bros C�f� & bakery corp","40400561","no","yes",07-JUL-20
2425,"sidewalk","Moustache","40400610","yes","no",20-JUN-20
7059,"roadway","Moustache","40400610","no","yes",02-JUL-20
4565,"sidewalk","ED&S Rest. Corp","40400641","yes","no",23-JUN-20
7800,"both","tbar","40400657","yes","yes",08-JUL-20
4682,"sidewalk","tbar steak & lounge","40400657","yes","no",23-JUN-20
7369,"roadway","t bar","40400657","no","yes",06-JUL-20
10175,"both","Peking Duck House","40400686","yes","yes",12-AUG-20
11268,"both","ELLEN'S STARDUST DINER","40400702","yes","yes",07-OCT-20
9669,"openstreets","il Buco Corp.","40400710","no","no",01-AUG-20
9879,"openstreets","il Buco Corp.","40400710","no","no",06-AUG-20
4285,"roadway","il Buco","40400710","no","yes",23-JUN-20
5768,"sidewalk","Ryan Maguire's Bar & Restaurant","40400754","yes","no",26-JUN-20
7663,"both","Ryan Maguire's Bar & Restaurant","40400754","yes","yes",08-JUL-20
6308,"both","THE SCRATCHER CAFE","40400810","yes","yes",29-JUN-20
9573,"sidewalk","Altesi Downtown","40401025","yes","no",30-JUL-20
1408,"roadway","Altesi Downtown","40401025","no","yes",19-JUN-20
5123,"sidewalk","Salam Restaurant","40401066","yes","no",24-JUN-20
7510,"sidewalk","McCabes Bar Car","40401084","yes","no",07-JUL-20
3699,"both","Broadway Desserts DBA French Roast","40401093","yes","yes",22-JUN-20
8585,"sidewalk","1020 Amsterdam Corp","40401104","yes","no",16-JUL-20
7587,"sidewalk","Oaxaca Hells Kitchen","40401160","yes","no",07-JUL-20
5846,"both","Big Bar","40401173","yes","yes",26-JUN-20
4516,"sidewalk","Broadway Dive","40401422","yes","no",23-JUN-20
7196,"sidewalk","Jake's Dilemma","40401453","yes","no",03-JUL-20
3129,"sidewalk","Mint Vegan","40401506","yes","no",21-JUN-20
380,"both","GMS RESTAURANT CORP","40401556","yes","yes",19-JUN-20
4079,"both","Sam's Waterfront Ale House","40401671","yes","yes",22-JUN-20
10101,"roadway","THREE DECKER RESTAURANT LTD","40401821","no","yes",10-AUG-20
2481,"both","Columbus gourmet food","40401834","yes","yes",20-JUN-20
5780,"roadway","Johnny's Bar","40401895","no","yes",26-JUN-20
5507,"sidewalk","174 Grand Street Corp","40401912","yes","no",25-JUN-20
5504,"both","Onieal's Grand Street","40401912","yes","yes",25-JUN-20
9914,"openstreets","Le Marais","40402023","no","no",06-AUG-20
9911,"openstreets","Le Marais","40402023","no","no",06-AUG-20
9699,"both","Le Marais","40402023","yes","yes",02-AUG-20
381,"both","Le Marais","40402023","yes","yes",19-JUN-20
2915,"both","Tecton Cafe Inc","40402026","yes","yes",21-JUN-20
8542,"roadway","bagel pub corp","164240","no","yes",16-JUL-20
1038,"sidewalk","Ovenly, LLC","165979","yes","no",19-JUN-20
5084,"both","Bello Deli Food Corp","172094","yes","yes",24-JUN-20
224,"both","Astoria Bier and Cheese-Ditmars","172924","yes","yes",19-JUN-20
4749,"sidewalk","Durso's Pasta & Ravioli Company","176066","yes","no",24-JUN-20
3817,"both","ALLEVA DAIRY INC","177336","yes","yes",22-JUN-20
7150,"both","A & L DELI MEAT MARKET","179076","yes","yes",03-JUL-20
6011,"both","The Flo","179786","yes","yes",27-JUN-20
208,"both","Five Boroughs Brewing Co.","183304","yes","yes",19-JUN-20
5563,"roadway","Mando foods mini mart","185027","no","yes",25-JUN-20
5650,"roadway","Mando Foods Mini Mart","185027","no","yes",26-JUN-20
2993,"sidewalk","Chamo Deli and Grocery INC","185167","yes","no",21-JUN-20
3021,"both","Astoria Bier and Cheese Inc","185261","yes","yes",21-JUN-20
493,"both","Sunac FAncy Food","188410","yes","yes",19-JUN-20
9270,"roadway","Alegre orchard llc","196996","no","yes",24-JUL-20
8485,"both","Dulceria NYC INC","226329","yes","yes",15-JUL-20
3974,"sidewalk","PATRIZIAS OF MASPETH LLC","273750","yes","no",22-JUN-20
6476,"both","Culture An American Yogurt Company","361148","yes","yes",30-JUN-20
7813,"both","Culture An American Yogurt Company","361271","yes","yes",08-JUL-20
3320,"sidewalk","R C & E RESTAURANT","371198","yes","no",22-JUN-20
4743,"both","Pollos a la Brasa Mario","409503","yes","yes",24-JUN-20
4298,"both","Sanma Japanese Restaurant &bar","503734","yes","yes",23-JUN-20
5076,"both","El Buen Gusto Restaurant INC","554594","yes","yes",24-JUN-20
707,"sidewalk","Chama Mama llc","563282","yes","no",19-JUN-20
5071,"sidewalk","Rangoon","575359","yes","no",24-JUN-20
4733,"both","TENZAN NEW YORK CORP","580571","yes","yes",24-JUN-20
4268,"both","LaLou","599938","yes","yes",23-JUN-20
1368,"sidewalk","Sveta","608081","yes","no",19-JUN-20
4309,"both","Tasty Pastry Shoppe","612726","yes","yes",23-JUN-20
2483,"sidewalk","Minerva international corp","619331","yes","no",20-JUN-20
2452,"sidewalk","The family store","619331","yes","no",20-JUN-20
4468,"sidewalk","TACO  BELL Cantina","620322","yes","no",23-JUN-20
4681,"sidewalk","taqueria vacilon inc","622644","yes","no",23-JUN-20
4689,"sidewalk","ladies sports bar inc","622648","yes","no",23-JUN-20
3566,"sidewalk","Cull & Pistol","623787","yes","no",22-JUN-20
4202,"sidewalk","Agata & Valentina","624809","yes","no",23-JUN-20
3727,"sidewalk","GRACES MARKETPLACE","625910","yes","no",22-JUN-20
8428,"both","Cafe M Studio","628552","yes","yes",15-JUL-20
3075,"both","Eataly NY LLC","628776","yes","yes",21-JUN-20
462,"sidewalk","Eataly","628776","yes","no",19-JUN-20
178,"sidewalk","Bread & Honey","628822","yes","no",19-JUN-20
5343,"both","Agata & Valentina","629428","yes","yes",25-JUN-20
3740,"both","M&G 60th LLC","630545","yes","yes",22-JUN-20
4632,"both","PRIME CATCH","633495","yes","yes",23-JUN-20
1426,"sidewalk","SAME","636471","yes","no",19-JUN-20
2965,"both","Burger People","639686","yes","yes",21-JUN-20
3521,"both","Lamianlounge Inc","645244","yes","yes",22-JUN-20
2005,"both","Sojourn","649710","yes","yes",20-JUN-20
3652,"both","Pinto Garden","653512","yes","yes",22-JUN-20
1035,"both","ASHOKA","653776","yes","yes",19-JUN-20
5061,"both","Memphis Seoul","655724","yes","yes",24-JUN-20
2093,"both","Punto ecuatoriano bakery corp","665184","yes","yes",20-JUN-20
3046,"sidewalk","Neils Coffee Shop","675432","yes","no",21-JUN-20
3233,"both","Lucky cat","694583","yes","yes",22-JUN-20
508,"both","jaspers taphouse","695391","yes","yes",19-JUN-20
4176,"both","Dough","712572","yes","yes",23-JUN-20
9612,"roadway","TACOS MI MEXICO","713538","no","yes",31-JUL-20
4325,"both","The Good Batch","713749","yes","yes",23-JUN-20
4822,"sidewalk","Horn's Hook Tavern","716208","yes","no",24-JUN-20
5992,"roadway","Senn Thai Comfort Food","716660","no","yes",27-JUN-20
2260,"sidewalk","9 Sann INC","716660","yes","no",20-JUN-20
1502,"sidewalk","Mirella Restaurant Corp.","717156","yes","no",19-JUN-20
1143,"sidewalk","Mercy Bakery Cafe LLC","719309","yes","no",19-JUN-20
4507,"roadway","Mercy Bakery Cafe LLC","719309","no","yes",23-JUN-20
1076,"sidewalk","YANKEE TAVERN","720143","yes","no",19-JUN-20
9499,"sidewalk","Michel cluizel","721630","yes","no",29-JUL-20
9572,"sidewalk","Choconyz inc","721630","yes","no",30-JUL-20
398,"sidewalk","LA NOXE","722200","yes","no",19-JUN-20
4248,"sidewalk","Eataly NY FIDI LLC","723512","yes","no",23-JUN-20
5239,"sidewalk","BKLYN Larder","727206","yes","no",25-JUN-20
6948,"sidewalk","Craft+Carry","729262","yes","no",02-JUL-20
4863,"sidewalk","Uchu Hospitality","729458","yes","no",24-JUN-20
6949,"sidewalk","Brooklyn Wine Cellar","730994","yes","no",02-JUL-20
4092,"both","La Frontera  Mexicana Corp.","734655","yes","yes",22-JUN-20
4874,"roadway","Upstate stock","737252","no","yes",24-JUN-20
7275,"sidewalk","Aging Young Rebels LLC","737252","yes","no",04-JUL-20
4647,"sidewalk","Mirna's pupuseria deli Corp","739660","yes","no",23-JUN-20
232,"sidewalk","Iconyc Brewing Company LLC","795646","yes","no",19-JUN-20
993,"roadway","Super Power","840299","no","yes",19-JUN-20
497,"both","Baby Jane","893864","yes","yes",19-JUN-20
6222,"roadway","Sarabeth's","981250","no","yes",29-JUN-20
4482,"both","Riomar corporation","1003195","yes","yes",23-JUN-20
1292,"sidewalk","Riomar corporation","1003195","yes","no",19-JUN-20
2592,"both","Polonia Democratic Club Inc","1010807","yes","yes",20-JUN-20
1597,"sidewalk","Pan Fino corp","1017189","yes","no",19-JUN-20
209,"sidewalk","Sunflower cafe","1026181","yes","no",19-JUN-20
864,"both","Cafe Luxembourg","1027233","yes","yes",19-JUN-20
1359,"sidewalk","Cinque Fratelli","1073007","yes","no",19-JUN-20
5027,"both","Charo Bros Inc","1106160","yes","yes",24-JUN-20
7612,"both","Swig BK Inc. DBA The Rogers Garden","1110935","yes","yes",07-JUL-20
2027,"both","eddie jrs sports lounge","1158481","yes","yes",20-JUN-20
579,"both","Dick and Jane's","1172168","yes","yes",19-JUN-20
245,"both","Bar Great Harry","1193674","yes","yes",19-JUN-20
1337,"both","AB, Inc.","1223232","yes","yes",19-JUN-20
869,"both","Stephanie's Sandwiches","1234567","yes","yes",19-JUN-20
3576,"sidewalk","Cilantro Restaurant","1249725","yes","no",22-JUN-20
3349,"sidewalk","The Owls Head","1258842","yes","no",22-JUN-20
3364,"sidewalk","109 W 14th St Rest Inc.","1260975","yes","no",22-JUN-20
3676,"both","glorietta baldy","1273674","yes","yes",22-JUN-20
4324,"roadway","ATTABOY COCKTAILS LLC","1280838","no","yes",23-JUN-20
2616,"sidewalk","Bridge and Tunnel Brewery","1286895","yes","no",20-JUN-20
4823,"sidewalk","Cardiff Giant","1290864","yes","no",24-JUN-20
6606,"both","Grimm Ales LLC","1298440","yes","yes",30-JUN-20
2617,"roadway","Desmo 916 Corp","1299404","no","yes",20-JUN-20
172,"both","Queens Brewery","1301416","yes","yes",19-JUN-20
222,"both","Wayan","1303337","yes","yes",19-JUN-20
4876,"sidewalk","Orrico's Italian Restaurant","1306304","yes","no",24-JUN-20
2484,"both","Ho Foods NYC LLC","1306949","yes","yes",20-JUN-20
4645,"sidewalk","Johal deli corp.","1308574","yes","no",23-JUN-20
2209,"roadway","Lizzie Kings","1309397","no","yes",20-JUN-20
6074,"both","Brooklyn Habit","1310556","yes","yes",27-JUN-20
2084,"both","Now And Then NYC Inc","1312169","yes","yes",20-JUN-20
3708,"sidewalk","Temkin's","1317524","yes","no",22-JUN-20
914,"both","Mac's Public House","1319077","yes","yes",19-JUN-20
3060,"sidewalk","Tramonti Fifth Ave","1321472","yes","no",21-JUN-20
8054,"both","Colonie","1380048","yes","yes",10-JUL-20
3148,"sidewalk","Colonie","1380048","yes","no",21-JUN-20
1227,"sidewalk","The Phoenix","1408035","yes","no",19-JUN-20
420,"sidewalk","5 Napkin Burger","1412968","yes","no",19-JUN-20
4739,"both","city cafe inc DBA Fushimi","1414785","yes","yes",24-JUN-20
1981,"sidewalk","City Cafe DBA Fushimi","1414785","yes","no",19-JUN-20
1991,"both","Giovanni's brooklyn Eats","1414838","yes","yes",19-JUN-20
3068,"both","Piece A Cake LLC","1425903","yes","yes",21-JUN-20
3259,"both","FAB CUP","1922439","yes","yes",22-JUN-20
2747,"sidewalk","RED LOBSTER CREDIT UNION","2408383","yes","no",21-JUN-20
7732,"roadway","MUSEUM OF ICE CREAM","2984317","no","yes",08-JUL-20
7734,"both","Museum of Ice Cream","2984317","yes","yes",08-JUL-20
7835,"both","Champignon Cafe","3082190","yes","yes",09-JUL-20
3654,"sidewalk","Pizza Nosh","4039865","yes","no",22-JUN-20
305,"both","Locanda Vini e Olii","4084423","yes","yes",19-JUN-20
81,"roadway","Enoteca, Inc.","4123245","no","yes",19-JUN-20
2285,"both","Ivano restaurant corp.","4124544","yes","yes",20-JUN-20
7721,"both","4199 CRYSTAL II RESTAURANT CORP","4141609","yes","yes",08-JUL-20
4462,"both","Lighthouse","4155577","yes","yes",23-JUN-20
4742,"both","Little Collins","4161469","yes","yes",24-JUN-20
4800,"both","Bovicar Inc","4161948","yes","yes",24-JUN-20
3174,"both","Ribalta","4165810","yes","yes",21-JUN-20
2832,"sidewalk","G Chew LLC","4169195","yes","no",21-JUN-20
1772,"both","Elimo Restaurant Corp","4170894","yes","yes",19-JUN-20
9246,"both","American Bar","4537751","yes","yes",23-JUL-20
